transmission_type,id_transmissao,body_type,id_body_type,modelo,id_modelos,marca,categoria_marca,id_categoria_marca,mileage,ano,city,id_city,insurance,id_insurance,seats,engine_capacity,fuel_type,id_fuel_type,kms_driven,max_power,owner_type,id_owner_type,resale_price_Lakh
Manual,0.13063448358318142,SUV,0.6002632621852876,XUV500 W10 1.99 mHawk,0.29955356632334845,Mahindra,baixa,0.2695348073865004,21.79,2017.0,Hyderabad,1.027129429868669,Third Party,0.2561672213768721,7.0,1997.0,Diesel,0.5145358569867878,69216.0,140.0,First Owner,0.1513159043723507,14.0
Manual,0.13063448358318142,Sedan,0.5776796017468651,City i DTEC V,0.5993676774303471,Honda,baixa,0.2695348073865004,13.7,2014.0,Chandigarh,1.5940326093918438,Third Party,0.2561672213768721,5.0,1498.0,Diesel,0.5145358569867878,40000.0,98.6,First Owner,0.1513159043723507,9.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,KWID 1.0 RXL,0.29955356632334845,Renault,baixa,0.2695348073865004,20.51,2017.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,999.0,Petrol,0.1808108436013733,48162.0,67.0,First Owner,0.1513159043723507,2.97
Manual,0.13063448358318142,SUV,0.6002632621852876,Nexon 1.2 Revotron XM,0.29955356632334845,Tata,baixa,0.2695348073865004,25.01,2019.0,Delhi,0.768863215945781,Zero Dep,1.3090775235586007,5.0,1198.0,Petrol,0.1808108436013733,56232.0,108.5,First Owner,0.1513159043723507,6.66
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Wagon R LXI CNG,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,20.7,2018.0,Gurgaon,1.2221060330847242,Comprehensive,0.44691375314468196,5.0,998.0,CNG,1.5242096868527688,46798.0,58.1,First Owner,0.1513159043723507,4.18
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Freestyle Titanium Petrol BSIV,0.29955356632334845,Ford,baixa,0.2695348073865004,19.16,2018.0,Delhi,0.768863215945781,Third Party,0.2561672213768721,5.0,1194.0,Petrol,0.1808108436013733,50000.0,94.6,First Owner,0.1513159043723507,4.5
Automatic,0.5851602224980227,SUV,0.6002632621852876,CR-V 2.4 4WD AT,2.4773785381880304,Honda,baixa,0.2695348073865004,34.05,2004.0,Agra,1.8777380209834806,Third Party,0.2561672213768721,5.0,2354.0,Petrol,0.1808108436013733,150000.0,149.92,Second Owner,0.6196441032904012,1.7
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Zen Estilo LXI Green (CNG),0.5993676774303471,Maruti,muito baixa,0.5146410003069729,17.21,2012.0,Hyderabad,1.027129429868669,Not Available,1.4145877083285747,5.0,998.0,CNG,1.5242096868527688,105503.0,67.1,Second Owner,0.6196441032904012,2.15
Automatic,0.5851602224980227,SUV,0.6002632621852876,C5 Aircross Shine,0.6877978260236047,Citroen,média-baixa,0.9847733374715463,28.09,2021.0,Hyderabad,1.027129429868669,Comprehensive,0.44691375314468196,5.0,1997.0,Diesel,0.5145358569867878,30465.0,174.33,First Owner,0.1513159043723507,32.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Alto K10 2010-2014 VXI,0.5993676774303471,Maruti,muito baixa,0.5146410003069729,16.82,2011.0,Pune,1.0951613137788256,Third Party,0.2561672213768721,5.0,998.0,Petrol,0.1808108436013733,30000.0,67.1,First Owner,0.1513159043723507,2.2
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Wagon R VXI,0.29955356632334845,Maruti,muito baixa,0.5146410003069729,31.2,2019.0,Jaipur,1.2805577942736048,Not Available,1.4145877083285747,5.0,998.0,Petrol,0.1808108436013733,48702.0,67.0,Second Owner,0.6196441032904012,5.0
Automatic,0.5851602224980227,Sedan,0.5776796017468651,Superb Elegance 1.8 TSI AT,0.5993676774303471,Skoda,média-baixa,0.9847733374715463,20.7,2012.0,Mumbai,0.9237651759315242,Comprehensive,0.44691375314468196,5.0,1798.0,Petrol,0.1808108436013733,55000.0,157.7,First Owner,0.1513159043723507,5.5
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Wagon R Stingray VXI,0.5993676774303471,Maruti,muito baixa,0.5146410003069729,17.5,2014.0,Kolkata,1.1705962136349577,Comprehensive,0.44691375314468196,5.0,998.0,Petrol,0.1808108436013733,24324.0,67.0,First Owner,0.1513159043723507,2.84
Manual,0.13063448358318142,Sedan,0.5776796017468651,Fiesta 1.5 TDCi Titanium,0.5993676774303471,Ford,baixa,0.2695348073865004,17.0,2014.0,Hyderabad,1.027129429868669,Comprehensive,0.44691375314468196,5.0,1498.0,Diesel,0.5145358569867878,156126.0,89.7,First Owner,0.1513159043723507,3.0
Manual,0.13063448358318142,Hatchback,0.36313833386560074,Grand i10 Nios Magna,0.6877978260236047,Hyundai,baixa,0.2695348073865004,13.24,2021.0,Bangalore,0.8686148605655614,Third Party,0.2561672213768721,5.0,1197.0,Petrol,0.1808108436013733,7266.0,81.8,First Owner,0.1513159043723507,6.39
