marca,id_marcas,engine_capacity,id_insurance,insurance,id_transmissao,transmission_type,ano,kms_driven,owner_type,id_owner_type,fuel_type,id_fuel_type,max_power,seats,mileage,id_body_type,body_type,id_city,city,resale_price_Lakh
Renault,1.4194933942368804,799.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2019.0,10000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,53.3,5.0,25.17,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,2.8
Toyota,1.3828395027895357,1462.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2021.0,43283.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,103.2,5.0,17.03,0.5988691236058242,SUV,0.8683204154856445,Bangalore,9.54
Tata,1.2308372911621728,1248.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2018.0,90000.0,Third Owner,1.365235730644157,Diesel,0.5149186383392457,88.7,5.0,20.65,0.5780531058996504,Sedan,0.8683204154856445,Bangalore,4.8
Honda,0.9762380635245456,1198.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2013.0,25217.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,86.8,5.0,19.4,0.36411207029700055,Hatchback,0.7676996810762409,Delhi,2.82
Toyota,1.3828395027895357,2982.0,1.4186443333957626,Not Available,0.5831023826138171,Automatic,2012.0,208009.0,Second Owner,0.6203282546085825,Diesel,0.5149186383392457,169.0,7.0,11.5,0.5988691236058242,SUV,1.4985046952688743,Lucknow,10.55
Maruti,0.5414395158001966,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2011.0,50000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,85.8,5.0,21.1,0.36411207029700055,Hatchback,0.9227099304234485,Mumbai,2.45
Toyota,1.3828395027895357,1462.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2022.0,20000.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,103.2,5.0,17.03,0.5988691236058242,SUV,0.8683204154856445,Bangalore,9.75
Hyundai,0.6776651860522321,1197.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2017.0,100000.0,Second Owner,0.6203282546085825,Petrol,0.18033354506727076,81.8,5.0,15.38,0.5780531058996504,Sedan,1.0271992077985115,Hyderabad,3.8
Honda,0.9762380635245456,1497.0,0.2566333215136202,Third Party,0.1313588447382279,Manual,2021.0,6800.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,117.6,5.0,17.4,0.5780531058996504,Sedan,0.7676996810762409,Delhi,12.85
Hyundai,0.6776651860522321,814.0,1.30640076596682,Zero Dep,0.1313588447382279,Manual,2018.0,24161.0,First Owner,0.15046506698925197,Petrol,0.18033354506727076,55.2,5.0,21.1,0.36411207029700055,Hatchback,1.0961020230412228,Pune,3.24
